actores,estado,fecha_estreno,generos,puntaje,temporadas,titulo
"Bae Doo-na,Brian J. Smith,Daryl Hannah,Freema Agyeman,Jamie Clayton,Max Riemelt,Miguel Ángel Silvestre,Naveen Andrews,Terrence Mann,Tina Desai,Toby Onwumere,Tuppence Middleton",FINALIZADA,2015,"Ciencia ficción,Drama,Fantasía,Series de Netflix",0,2,Sense8
Jake Manley,EMISION,2019,"Ciencia ficción,Drama,Fantasía,Misterio,Series de Netflix",4,2,La Orden Secreta
"AnnaSophia Robb,Calum Worthy,Chloë Sevigny,Joey King,Patricia Arquette",EMISION,2019,"Crimen,Drama,Series de Hulu",3.5,1,The Act
"Angel Coulby,Bradley James,Colin Morgan,John Hurt,Katie McGrath,Richard Wilson",FINALIZADA,2008,"Acción,Aventura,Ciencia ficción,Drama,Fantasía",4.5,5,Merlín
"Akira Ishida,Chie Nakamura,Hidekatsu Shibata,Hideo Ishikawa,Hōchū Ōtsuka,Junko Takeuchi,Jūrōta Kosugi,Kazuhiko Inoue,Keiko Nemoto,Kentaro Ito,Kohsuke Toriumi,Kōichi Tōchika",FINALIZADA,2002,"Acción,Animación,Anime,Aventura,Comedia,Drama",4.5,5,Naruto
"Aida Turturro,Danielle Di Vecchio,Dominic Chianese,Edie Falco,James Gandolfini,Jamie-Lynn Sigler,Lorraine Bracco,Michael Imperioli,Robert Iler,Steve Schirripa,Steven Van Zandt,Tony Sirico",FINALIZADA,1999,"Antiguas,Drama,Series de HBO GO",0,6,Los Soprano
"Amanda Crew,Josh Brener,Kumail Nanjiani,Martin Starr,Matt Ross,Thomas Middleditch,Zach Woods",FINALIZADA,2014,"Comedia,Series de HBO",4,6,Silicon Valley
"Ana Ortiz,Anthony Turpel,Bebe Wood,George Sear,Isabella Ferreira,James Martinez,Kayla DiVenere,Keenan Kelley,Lukas Gage,Mason Gooding,Mateo Fernandez,Michael Cimino",EMISION,2020,"Comedia,Drama,Series de Hulu",4,1,"Love, Victor"
"Abel Folk,Ángela Molina,Ángela Vega,Belén Écija,Cristina Soria,Daniel Ibáñez,Elena Seijo,Eleonora Wexler,Iván Chavero,Juan Blanco,Laura Quirós,Manu Fullola",EMISION,2020,"Ciencia ficción,Drama,Fantasía,Misterio,Western",5,1,La Valla
"Andrés Parra,Angie Cepeda,Cecilia Navia,Christian Tappán,Eileen Moreno,Ernesto Benjumea,Germán Quintero,Marcela Gallego,Mauricio Mejía,Nicolas Montero,Vicky Hernández",FINALIZADA,2012,"Crimen,Drama",3.5,1,"Pablo Escobar, el patrón del mal"
"Amy Smart,Anjelika Washington,Brec Bassinger,Cameron Gellman,Christopher James Baker,Hunter Sansone,Jake Austin Walker,Luke Wilson,Meg DeLacy,Neil Hopkins,Neil Jackson,Nelson Lee",EMISION,2020,"Acción,Aventura,Ciencia ficción,Crimen,Drama,Fantasía",4,1,Stargirl
"Charlie Cox,Deborah Ann Woll,Elden Henson,Élodie Yung,Finn Jones,Jessica Henwick,Krysten Ritter,Mike Colter,Rachael Taylor,Rosario Dawson,Sigourney Weaver,Simone Missick",FINALIZADA,2017,"Acción,Aventura,Ciencia ficción,Crimen,Fantasía,Marvel",5,1,The Defenders
"Adina Porter,Alexis Desiree Jones,Austin North,Charles Esten,Chase Stokes,Drew Starkey,Jonathan Daviss,Madelyn Cline,Madison Bailey,Rudy Pankow",EMISION,2020,"Acción,Aventura,Drama,Series de Netflix",5,1,Outer Banks
"Choi Joo-won,Go Min-si,Jung Ga-ram,Kim Hee-chang,Kim Si-eun,Kim So-hyun,Shin Seung-ho,Song Geon-hee,Song Kang,Song Seon-mi",EMISION,2019,"Drama,Ciencia ficción,Dorama,Fantasía,Series de Netflix",4.5,2,Love Alarm
"Ari Stidham,Eddie Kaye Thomas,Elyes Gabel,Jadyn Wong,Katharine McPhee,Riley B. Smith,Robert Patrick",FINALIZADA,2014,"Acción,Aventura,Drama,Series de CBS",4,4,Scorpion
"Ashleigh Cummings,Jahkara Smith,Ólafur Darri Ólafsson,Zachary Quinto",EMISION,2019,"Ciencia ficción,Drama,Fantasía,Series de AMC",4,2,NOS4A2
"Amy Acker,Blair Redford,Coby Bell,Emma Dumont,Grace Byers,Jamie Chung,Natalie Alyn Lind,Percy Hynes White,Sean Teale,Skyler Samuels,Stephen Moyer",FINALIZADA,2017,"Acción,Aventura,Ciencia ficción,Drama,Fantasía,Marvel,Sci-Fi & Fantasy",4,2,The Gifted
"Alban Lenoir,Bellamine Abdelmalek,Lucie Boujenah,Mehdi Meskar,Ralph Amoussou,Tiphaine Daviot,Victoire Du Bois",FINALIZADA,2019,"Misterio,Series de Netflix",4.5,1,Marianne
Pedro Pascal,EMISION,2019,"Acción,Aventura,Ciencia ficción,Series de Disney+",4,1,The Mandalorian
"Cassidy Freeman,Erica Durance,Justin Hartley,Tom Welling",FINALIZADA,2001,"Acción,Aventura,Ciencia ficción,DC Comics,Drama,Fantasía,Misterio,Series de Amazon,Series de The CW,Series de The WB",4,10,Smallville
Eugenio Derbez,EMISION,2018,"Comedia,Series de Amazon",5,2,LOL: Last One Laughing
"Alba Bernabé,Amina Leony,Bouzan Hadawi,Carlos Blanco,Fariba Sheikhan,Fele Martínez,Francesc Orella,Hamid Krim,Luis Zahera,Marcos Javier Fernández Eimil,Marian Álvarez,Mekki Kadiri",EMISION,2020,"Drama,Series de Movistar+",5,1,La unidad
"Billie Piper,Brian Cox,Christian Camargo,Danny Sapani,Eva Green,Harry Treadaway,Helen McCrory,Jessica Barden,Josh Hartnett,Olivia Llewellyn,Patti LuPone,Perdita Weeks",FINALIZADA,2014,"Drama,Misterio",0,3,Penny Dreadful
"Alba August,Clara Rosager,Evin Ahmad,Jessica Dinnage,Johannes Bah Kuhnke,Lucas Lynggaard Tønnesen,Lukas Løkken,Mikkel Boe Følsgaard,Natalie Madueño,Sonny Lindberg,Thea Glindorf",EMISION,2018,"Drama,Ciencia ficción,Fantasía,Series de Netflix",4.5,3,The Rain
"Amber Rose Revah,Ben Barnes,Floriana Lima,Giorgia Whigham,Jason R. Moore,Jon Bernthal,Josh Stewart",FINALIZADA,2017,"Acción,Aventura,Crimen,Drama,Marvel",5,2,The Punisher
"Candice Patton,Carlos Valdes,Danielle Nicolet,Danielle Panabaker,Grant Gustin,Hartley Sawyer,Jesse L. Martin,Tom Cavanagh",EMISION,2014,"Drama,Ciencia ficción,DC Comics,Fantasía,Series de The CW",4.5,6,The Flash
"Alan Ritchson,Anna Diop,Brenton Thwaites,Chelsea Zhang,Conor Leslie,Curran Walters,Esai Morales,Joshua Orpin,Minka Kelly,Ryan Potter,Teagan Croft",EMISION,2018,"Acción,Aventura,Ciencia ficción,DC Comics,Drama,Fantasía",4,2,Titanes
"Andrea Parker,Ashley Benson,Ian Harding,Janel Parrish,Keegan Allen,Lucy Hale,Sasha Pieterse,Shay Mitchell,Troian Bellisario,Tyler Blackburn",FINALIZADA,2010,"Drama,Misterio,Series de ABC",4,7,Lindas Mentirosas
,EMISION,2020,"Drama,Series de Netflix",4,1,Nación de inmigración
"Derek Luke,Joel Allen,Max Martini,Paola Nuñez",FINALIZADA,2018,"Crimen,Drama,Misterio,Series de Amazon,Series de USA Network",3,2,The Purge
"Bruce Greenwood,Emily VanCamp,Malcolm-Jamal Warner,Manish Dayal,Matt Czuchry,Shaunette Renée Wilson",EMISION,2018,"Drama,Series de FOX",5,3,The Resident
"Amaury Nolasco,Augustus Prew,Dominic Purcell,Inbar Lavi,Mark Feuerstein,Paul Adelstein,Robert Knepper,Rockmond Dunbar,Sarah Wayne Callies,Wentworth Miller",FINALIZADA,2005,"Acción,Aventura,Crimen,Drama,Series de FOX",4,5,Prison Break
"Alba Planas,Álex Villazán,Álvaro Cobas González,Celia Monedero,Fernando Lindez,Hajar Brown,Irene Ferreiro,Nicole Wallace,Rizha",EMISION,2018,"Comedia,Drama,Series de Movistar+",4.5,4,Skam España
"Michaela Coel,Weruche Opia",FINALIZADA,2020,"Drama,Series de BBC One,Series de HBO GO",5,1,Podría destruirte
"Clare O'Connor,Kelsey Grammer,Krystel McNeil,Nikki M. James,Rachelle Lefevre,Riley Smith,Russell Hornsby,Vincent Kartheiser",FINALIZADA,2019,"Drama,Series de FOX",4,1,Proven Innocent
,EMISION,2020,"Comedia,Series de Quibi",2.5,2,Reno 911!
"Alison Wright,Annalise Basso,Daveed Diggs,Iddo Goldberg,Jennifer Connelly,Mickey Sumner,Susan Park",EMISION,2020,"Fantasía,Ciencia ficción,Series de TNT",5,2,Snowpiercer
"Anya Chalotra,Freya Allan,Henry Cavill,Mimi Ndiweni",EMISION,2019,"Acción,Aventura,Ciencia ficción,Drama,Fantasía",4,2,The Witcher
"Deedee Magno,Estelle,Michaela Dietz,Zach Callison",FINALIZADA,2019,"Acción,Action & Adventure,Animación,Aventura,Ciencia ficción,Comedia,Fantasía,Kids,Series de Cartoon Network",3.5,1,Steven Universe Futuro
"Blair Brown,Bradley Cooper,Colin Salmon,Desmond Harrington,Georgina Haig,Hill Harper,Jake McDorman,Jennifer Carpenter,Mary Elizabeth Mastrantonio,Megan Guinan,Michael Devine,Michael James Shaw",FINALIZADA,2015,"Acción,Animación,Ciencia ficción,Crimen,Drama,Fantasía,Series de CBS",3.5,1,Limitless
"Antonio Grimau,Carlos Belloso,Daniel Aráoz,Daniel Valenzuela,Dolores Fonzi,Esteban Lamothe,Ignacio Quesada,Juan Gil Navarro,Lautaro Rodríguez,Mónica Ayos",EMISION,2020,"Crimen,Drama,Series de Netflix",4,1,Puerta 7
"A.J. Cook,Adam Rodríguez,Aisha Tyler,Daniel Henney,Joe Mantegna,Kirsten Vangsness,Matthew Gray Gubler,Paget Brewster",FINALIZADA,2005,"Crimen,Drama,Misterio,Series de CBS All Access",4,15,Mentes Criminales
"Adam Brody,Autumn Reeser,Ben McKenzie,Kelly Rowan,Melinda Clarke,Peter Gallagher,Rachel Bilson,Willa Holland",FINALIZADA,2003,"Drama,Series de FOX",5,4,The O.C.
"Aislín McGuckin,Daisy Edgar-Jones,Desmond Eastwood,Eliot Salt,Frank Blake,India Mullen,Meadhbh Maxwell,Paul Mescal,Sarah Greene",FINALIZADA,2020,"Drama,Series de Hulu",3.5,1,Normal People
